,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,geometry
157758,1610002400,104,삼목지하차도남측,0,,POINT (154128.5336999974 543700.0085999912)
157759,1610002500,101,삼목1사거리,1,,POINT (154002.5092999931 543877.2635999984)
157760,1610002800,106,운북IC서측,0,,POINT (154861.5458999944 545196.1166999902)
157761,1610002900,106,공항입구IC서측,0,,POINT (156126.4122999983 545376.4339999934)
157762,1610003000,106,공항입구IC,0,,POINT (156894.8069999968 545423.3522999964)
157763,1610003100,104,영종대교,1,,POINT (161114.2441999981 548510.5795000014)
157764,1610003200,101,영종해안남로2,1,,POINT (149122.7451999881 536189.0460999954)
157765,1610003400,101,내외정보통신신도림테크,0,,POINT (151872.914399993 536778.1691999956)
157766,1610003401,101,운서동2854-5,0,,POINT (153208.9620999983 537712.0634999989)
157767,1610003500,103,속성변화점,0,,POINT (151586.3173999934 538082.9400999963)
157768,1610003700,101,운서동2850-10,1,,POINT (152013.9800999973 538145.7276999926)
157769,1610003800,101,운서동2851-22,0,,POINT (151710.057999996 538166.9018999974)
157770,1610003900,101,운서동2851-22,0,,POINT (151733.3460999957 538214.5486999971)
157771,1610004000,101,운서동2851,0,,POINT (151464.2551999993 538217.9451999974)
157772,1610004200,101,운서동2851-22,1,,POINT (151301.1267999927 538284.8249999982)
157773,1610004300,101,LG유플러스,0,,POINT (151903.8067999932 538301.8815000036)
